FIO_owner,Company_name,INN_company,Ownership,Region,Source,Ownership_date
"Иванов И.И.,ООО ""Ромашка"",7701234567,50%,Москва,Kommersant,12.03.2021"
Иванов Иван Иванович,ООО Ромашка,7701234567,0.5,Москва,Kommersant,2021-03-12
"Сидоров С.С,ООО ""Ромашка"",7701234567,50 %,Москва,,15/03/2021"
"Петров Петр Петрович,ООО ""Лютик"",7801234567,100%,Санкт-Петербург,RBC,01-04-2020"
"Петров П.П.,ООО ""Лютик"",7801234567,30%,СПб,Forbes,2022/05/10"
"Иванов И.И.,ООО ""Лютик"",7801234567,30 %,Москва,Forbes,10.05.2022"
"Смирнов А.А.,АО ""Вектор"",5401234567,25%,Новосибирск,Kommersant,2019-07-01"
Смирнов Алексей Алексеевич,АО Вектор,5401234567,0.25,Новосибирск,,01.07.2019
"Кузнецова Е.В.,ООО ""Альфа"",,40%,Москва,RBC,05.06.2020"
"Орлов Д.Д.,ООО ""Альфа"",7723456789,70%,Москва,Kommersant,2020-06-05"
Орлов Д. Д.,ООО Альфа,7723456789,35%,Москва,Forbes,2021-08-01
"Лебедев М.М.,ООО ""Гамма"",6601234567,,Екатеринбург,Kommersant,12.11.2021"
"Иванов И.И.,ООО ""Гамма"",6601234567,60%,Екатеринбург,,2021.11.12"
